section,key,value
simulation_config,simulation_days,500
simulation_config,time_step_s,5.0
simulation_config,lat_es_deg,28.23088
simulation_config,lon_es_deg,-81.820348
simulation_config,eccentricity,0.0
simulation_config,inclination_deg,40.0
simulation_config,altitude_km,980.0
simulation_config,num_planes,5
simulation_config,sats_per_plane,5
simulation_config,total_sats,25
simulation_config,min_elevation_deg,5.0
simulation_config,r_earth_km,6371.0
simulation_config,mu_earth_km3s2,398600.4418
simulation_config,omega_earth_rads,7.2921159e-05
link_budget_config,EIRP_dBW,56.0
link_budget_config,G_R_dBi,40.0
link_budget_config,P_req_dBW,-105.0
link_budget_config,freq_rx_GHz,20.0
link_budget_config,freq_tx_GHz,30.0
link_budget_config,es_eirp_dBW,60.0
link_budget_config,sat_g_r_dBi,35.0
link_budget_config,misc_loss_rx_dB,2.0
link_budget_config,misc_loss_tx_dB,2.0
link_budget_config,atmos_zenith_rx_dB,0.5
link_budget_config,atmos_zenith_tx_dB,0.8
link_budget_config,theta_min_1pct_deg,5.0
link_budget_config,theta_min_5pct_deg,9.0
link_budget_config,mu_theta,32.329
link_budget_config,sigma_theta,24.203
orbital_summary,semi_major_axis_km,7351.0
orbital_summary,orbital_period_min,104.539
orbital_summary,total_time_steps,8640000
orbital_summary,visible_samples,7868234
orbital_summary,visibility_fraction_pct,91.0675
gamma_fit_pe_5.0deg,theta_min_deg,5.0
gamma_fit_pe_5.0deg,n_samples,7868234
gamma_fit_pe_5.0deg,gamma_shape,2.594511
gamma_fit_pe_5.0deg,gamma_loc,0.0
gamma_fit_pe_5.0deg,gamma_scale,10.697209
gamma_fit_pe_5.0deg,mean_theta_deg,27.754
gamma_fit_pe_5.0deg,std_theta_deg,17.0754
gamma_fit_pe_5.0deg,median_theta_deg,25.0589
gamma_fit_pe_5.0deg,q1_theta_deg,13.904
gamma_fit_pe_5.0deg,q3_theta_deg,37.2921
gamma_fit_pe_5.0deg,min_theta_deg,5.0
gamma_fit_pe_5.0deg,max_theta_deg,89.9665
gamma_fit_pe_9.0deg,theta_min_deg,9.0
gamma_fit_pe_9.0deg,n_samples,6929090
gamma_fit_pe_9.0deg,gamma_shape,3.715703
gamma_fit_pe_9.0deg,gamma_loc,0.0
gamma_fit_pe_9.0deg,gamma_scale,8.226758
gamma_fit_pe_9.0deg,mean_theta_deg,30.5682
gamma_fit_pe_9.0deg,std_theta_deg,16.2653
gamma_fit_pe_9.0deg,median_theta_deg,27.6317
gamma_fit_pe_9.0deg,q1_theta_deg,17.6767
gamma_fit_pe_9.0deg,q3_theta_deg,39.7576
gamma_fit_pe_9.0deg,min_theta_deg,9.0
gamma_fit_pe_9.0deg,max_theta_deg,89.9665
contact_duration,contact_threshold_deg,10.0
contact_duration,total_passes,31931
contact_duration,total_contact_time_s,33537355.0
contact_duration,mean_pass_duration_s,1050.31
contact_duration,median_pass_duration_s,1045.0
contact_duration,std_pass_duration_s,114.05
contact_duration,min_pass_duration_s,245.0
contact_duration,max_pass_duration_s,1205.0
link_budget_pe=1%,exceedance_prob,pe=1%
link_budget_pe=1%,theta_min_deg,5.0
link_budget_pe=1%,gamma_shape,2.594511
link_budget_pe=1%,gamma_loc,0.0
link_budget_pe=1%,gamma_scale,10.697209
link_budget_pe=1%,mean_theta_deg,27.754
link_budget_pe=1%,std_theta_deg,17.0754
link_budget_pe=1%,At_best_case_dB,177.4896
link_budget_pe=1%,At_worst_case_dB,202.3993
link_budget_pe=1%,At_expected_dB,193.0672
link_budget_pe=1%,At_median_dB,191.971
link_budget_pe=1%,At_std_dB,28.1731
link_budget_pe=1%,hotspot_theta_deg,16.96
link_budget_pe=1%,hotspot_At_dB,193.028
link_budget_pe=1%,FSPL_rx_expected_dB,183.8648
link_budget_pe=1%,atmos_loss_rx_expected_dB,1.7078
link_budget_pe=1%,misc_loss_rx_dB,2.0
link_budget_pe=1%,Pr_max_dBW,-262.2848
link_budget_pe=1%,Pr_min_dBW,-302.583
link_budget_pe=1%,Pr_expected_dBW,-284.6398
link_budget_pe=1%,Pr_median_dBW,-283.1645
link_budget_pe=1%,Pr_std_dBW,28.9238
link_budget_pe=1%,Pr_q1_dBW,-287.4499
link_budget_pe=1%,Pr_q3_dBW,-279.8563
link_budget_pe=1%,hotspot_Pr_dBW,-286.266
link_budget_pe=1%,P_required_dBW,-105.0
link_budget_pe=1%,link_margin_expected_dB,-179.6398
link_budget_pe=1%,link_margin_worst_case_dB,-197.583
link_budget_pe=1%,link_margin_best_case_dB,-157.2848
link_budget_pe=1%,link_margin_median_dB,-178.1645
link_budget_pe=1%,FSPL_tx_expected_dB,187.3866
link_budget_pe=1%,atmos_loss_tx_expected_dB,2.7325
link_budget_pe=1%,misc_loss_tx_dB,2.0
link_budget_pe=1%,Pr_tx_max_dBW,-267.1066
link_budget_pe=1%,Pr_tx_min_dBW,-310.5469
link_budget_pe=1%,Pr_tx_expected_dBW,-290.1863
link_budget_pe=1%,Pr_tx_median_dBW,-288.415
link_budget_pe=1%,Pr_tx_std_dBW,29.1802
link_budget_pe=1%,Pr_tx_q1_dBW,-293.1217
link_budget_pe=1%,Pr_tx_q3_dBW,-284.881
link_budget_pe=1%,hotspot_Pr_tx_dBW,-291.817
link_budget_pe=1%,link_margin_tx_expected_dB,-185.1863
link_budget_pe=1%,link_margin_tx_worst_case_dB,-205.5469
link_budget_pe=1%,link_margin_tx_best_case_dB,-162.1066
link_budget_pe=1%,link_margin_tx_median_dB,-183.415
link_budget_pe=5%,exceedance_prob,pe=5%
link_budget_pe=5%,theta_min_deg,9.0
link_budget_pe=5%,gamma_shape,3.715703
link_budget_pe=5%,gamma_loc,0.0
link_budget_pe=5%,gamma_scale,8.226758
link_budget_pe=5%,mean_theta_deg,30.5682
link_budget_pe=5%,std_theta_deg,16.2653
link_budget_pe=5%,At_best_case_dB,195.7342
link_budget_pe=5%,At_worst_case_dB,200.6132
link_budget_pe=5%,At_expected_dB,194.4622
link_budget_pe=5%,At_median_dB,193.6294
link_budget_pe=5%,At_std_dB,8.4732
link_budget_pe=5%,hotspot_theta_deg,22.432
link_budget_pe=5%,hotspot_At_dB,194.308
link_budget_pe=5%,FSPL_rx_expected_dB,183.2877
link_budget_pe=5%,atmos_loss_rx_expected_dB,1.3261
link_budget_pe=5%,misc_loss_rx_dB,2.0
link_budget_pe=5%,Pr_max_dBW,-280.5293
link_budget_pe=5%,Pr_min_dBW,-297.234
link_budget_pe=5%,Pr_expected_dBW,-285.076
link_budget_pe=5%,Pr_median_dBW,-283.9848
link_budget_pe=5%,Pr_std_dBW,9.8015
link_budget_pe=5%,Pr_q1_dBW,-287.6418
link_budget_pe=5%,Pr_q3_dBW,-280.8069
link_budget_pe=5%,hotspot_Pr_dBW,-285.972
link_budget_pe=5%,P_required_dBW,-105.0
link_budget_pe=5%,link_margin_expected_dB,-180.076
link_budget_pe=5%,link_margin_worst_case_dB,-192.234
link_budget_pe=5%,link_margin_best_case_dB,-175.5293
link_budget_pe=5%,link_margin_median_dB,-178.9848
link_budget_pe=5%,FSPL_tx_expected_dB,186.8095
link_budget_pe=5%,atmos_loss_tx_expected_dB,2.1218
link_budget_pe=5%,misc_loss_tx_dB,2.0
link_budget_pe=5%,Pr_tx_max_dBW,-285.3512
link_budget_pe=5%,Pr_tx_min_dBW,-303.6735
link_budget_pe=5%,Pr_tx_expected_dBW,-290.3935
link_budget_pe=5%,Pr_tx_median_dBW,-289.1474
link_budget_pe=5%,Pr_tx_std_dBW,10.1131
link_budget_pe=5%,Pr_tx_q1_dBW,-293.0869
link_budget_pe=5%,Pr_tx_q3_dBW,-285.8032
link_budget_pe=5%,hotspot_Pr_tx_dBW,-291.28
link_budget_pe=5%,link_margin_tx_expected_dB,-185.3935
link_budget_pe=5%,link_margin_tx_worst_case_dB,-198.6735
link_budget_pe=5%,link_margin_tx_best_case_dB,-180.3512
link_budget_pe=5%,link_margin_tx_median_dB,-184.1474
daily_mean_contact_s,day_0,1037.85
daily_mean_contact_s,day_1,1049.45
daily_mean_contact_s,day_2,1049.61
daily_mean_contact_s,day_3,1052.46
daily_mean_contact_s,day_4,1049.77
daily_mean_contact_s,day_5,1048.75
daily_mean_contact_s,day_6,1050.39
daily_mean_contact_s,day_7,1050.0
daily_mean_contact_s,day_8,1050.31
daily_mean_contact_s,day_9,1051.02
daily_mean_contact_s,day_10,1051.09
daily_mean_contact_s,day_11,1049.92
daily_mean_contact_s,day_12,1050.16
daily_mean_contact_s,day_13,1050.62
daily_mean_contact_s,day_14,1051.41
daily_mean_contact_s,day_15,1051.09
daily_mean_contact_s,day_16,1050.39
daily_mean_contact_s,day_17,1051.02
daily_mean_contact_s,day_18,1049.21
daily_mean_contact_s,day_19,1050.78
daily_mean_contact_s,day_20,1050.62
daily_mean_contact_s,day_21,1050.94
daily_mean_contact_s,day_22,1051.48
daily_mean_contact_s,day_23,1051.02
daily_mean_contact_s,day_24,1050.94
daily_mean_contact_s,day_25,1049.05
daily_mean_contact_s,day_26,1051.17
daily_mean_contact_s,day_27,1050.94
daily_mean_contact_s,day_28,1050.7
daily_mean_contact_s,day_29,1051.48
daily_mean_contact_s,day_30,1051.33
daily_mean_contact_s,day_31,1050.7
daily_mean_contact_s,day_32,1048.89
daily_mean_contact_s,day_33,1051.41
daily_mean_contact_s,day_34,1050.78
daily_mean_contact_s,day_35,1051.02
daily_mean_contact_s,day_36,1050.78
daily_mean_contact_s,day_37,1050.86
daily_mean_contact_s,day_38,1051.02
daily_mean_contact_s,day_39,1049.05
daily_mean_contact_s,day_40,1050.7
daily_mean_contact_s,day_41,1051.09
daily_mean_contact_s,day_42,1050.62
daily_mean_contact_s,day_43,1049.92
daily_mean_contact_s,day_44,1050.55
daily_mean_contact_s,day_45,1049.38
daily_mean_contact_s,day_46,1051.27
daily_mean_contact_s,day_47,1050.16
daily_mean_contact_s,day_48,1049.84
daily_mean_contact_s,day_49,1049.77
daily_mean_contact_s,day_50,1050.31
daily_mean_contact_s,day_51,1049.53
daily_mean_contact_s,day_52,1049.22
daily_mean_contact_s,day_53,1052.46
daily_mean_contact_s,day_54,1049.84
daily_mean_contact_s,day_55,1048.59
daily_mean_contact_s,day_56,1050.08
daily_mean_contact_s,day_57,1050.23
daily_mean_contact_s,day_58,1048.67
daily_mean_contact_s,day_59,1049.92
daily_mean_contact_s,day_60,1052.06
daily_mean_contact_s,day_61,1049.45
daily_mean_contact_s,day_62,1049.92
daily_mean_contact_s,day_63,1050.08
daily_mean_contact_s,day_64,1049.84
daily_mean_contact_s,day_65,1049.77
daily_mean_contact_s,day_66,1049.69
daily_mean_contact_s,day_67,1051.51
daily_mean_contact_s,day_68,1049.69
daily_mean_contact_s,day_69,1050.16
daily_mean_contact_s,day_70,1049.61
daily_mean_contact_s,day_71,1049.06
daily_mean_contact_s,day_72,1050.23
daily_mean_contact_s,day_73,1050.39
daily_mean_contact_s,day_74,1048.75
daily_mean_contact_s,day_75,1052.22
daily_mean_contact_s,day_76,1050.39
daily_mean_contact_s,day_77,1049.06
daily_mean_contact_s,day_78,1049.69
daily_mean_contact_s,day_79,1050.16
daily_mean_contact_s,day_80,1051.02
daily_mean_contact_s,day_81,1050.86
daily_mean_contact_s,day_82,1049.44
daily_mean_contact_s,day_83,1050.86
daily_mean_contact_s,day_84,1050.31
daily_mean_contact_s,day_85,1050.47
daily_mean_contact_s,day_86,1050.55
daily_mean_contact_s,day_87,1051.17
daily_mean_contact_s,day_88,1051.48
daily_mean_contact_s,day_89,1048.65
daily_mean_contact_s,day_90,1050.78
daily_mean_contact_s,day_91,1051.25
daily_mean_contact_s,day_92,1051.09
daily_mean_contact_s,day_93,1050.47
daily_mean_contact_s,day_94,1051.02
daily_mean_contact_s,day_95,1051.41
daily_mean_contact_s,day_96,1048.81
daily_mean_contact_s,day_97,1050.62
daily_mean_contact_s,day_98,1051.09
daily_mean_contact_s,day_99,1051.33
daily_mean_contact_s,day_100,1051.17
daily_mean_contact_s,day_101,1051.09
daily_mean_contact_s,day_102,1051.09
daily_mean_contact_s,day_103,1051.25
daily_mean_contact_s,day_104,1049.05
daily_mean_contact_s,day_105,1050.55
daily_mean_contact_s,day_106,1050.78
daily_mean_contact_s,day_107,1051.25
daily_mean_contact_s,day_108,1050.62
daily_mean_contact_s,day_109,1050.39
daily_mean_contact_s,day_110,1051.09
daily_mean_contact_s,day_111,1049.44
daily_mean_contact_s,day_112,1050.78
daily_mean_contact_s,day_113,1050.86
daily_mean_contact_s,day_114,1050.55
daily_mean_contact_s,day_115,1050.86
daily_mean_contact_s,day_116,1050.23
daily_mean_contact_s,day_117,1049.92
daily_mean_contact_s,day_118,1050.86
daily_mean_contact_s,day_119,1050.47
daily_mean_contact_s,day_120,1050.0
daily_mean_contact_s,day_121,1048.83
daily_mean_contact_s,day_122,1050.0
daily_mean_contact_s,day_123,1049.92
daily_mean_contact_s,day_124,1050.24
daily_mean_contact_s,day_125,1050.23
daily_mean_contact_s,day_126,1050.62
daily_mean_contact_s,day_127,1049.61
daily_mean_contact_s,day_128,1049.53
daily_mean_contact_s,day_129,1050.08
daily_mean_contact_s,day_130,1049.77
daily_mean_contact_s,day_131,1051.51
daily_mean_contact_s,day_132,1049.77
daily_mean_contact_s,day_133,1049.3
daily_mean_contact_s,day_134,1049.84
daily_mean_contact_s,day_135,1050.0
daily_mean_contact_s,day_136,1049.38
daily_mean_contact_s,day_137,1049.3
daily_mean_contact_s,day_138,1050.31
daily_mean_contact_s,day_139,1052.38
daily_mean_contact_s,day_140,1048.59
daily_mean_contact_s,day_141,1050.39
daily_mean_contact_s,day_142,1050.23
daily_mean_contact_s,day_143,1048.83
daily_mean_contact_s,day_144,1049.61
daily_mean_contact_s,day_145,1050.16
daily_mean_contact_s,day_146,1051.67
daily_mean_contact_s,day_147,1049.45
daily_mean_contact_s,day_148,1050.0
daily_mean_contact_s,day_149,1049.61
daily_mean_contact_s,day_150,1049.53
daily_mean_contact_s,day_151,1050.23
daily_mean_contact_s,day_152,1050.39
daily_mean_contact_s,day_153,1050.48
daily_mean_contact_s,day_154,1050.47
daily_mean_contact_s,day_155,1050.08
daily_mean_contact_s,day_156,1050.39
daily_mean_contact_s,day_157,1050.94
daily_mean_contact_s,day_158,1050.86
daily_mean_contact_s,day_159,1050.47
daily_mean_contact_s,day_160,1051.09
daily_mean_contact_s,day_161,1048.89
daily_mean_contact_s,day_162,1050.7
daily_mean_contact_s,day_163,1050.55
daily_mean_contact_s,day_164,1051.33
daily_mean_contact_s,day_165,1051.56
daily_mean_contact_s,day_166,1051.33
daily_mean_contact_s,day_167,1050.78
daily_mean_contact_s,day_168,1048.89
daily_mean_contact_s,day_169,1051.17
daily_mean_contact_s,day_170,1051.17
daily_mean_contact_s,day_171,1050.62
daily_mean_contact_s,day_172,1050.7
daily_mean_contact_s,day_173,1051.33
daily_mean_contact_s,day_174,1050.86
daily_mean_contact_s,day_175,1048.41
daily_mean_contact_s,day_176,1051.25
daily_mean_contact_s,day_177,1050.94
daily_mean_contact_s,day_178,1051.17
daily_mean_contact_s,day_179,1051.17
daily_mean_contact_s,day_180,1050.78
daily_mean_contact_s,day_181,1051.09
daily_mean_contact_s,day_182,1048.65
daily_mean_contact_s,day_183,1050.7
daily_mean_contact_s,day_184,1051.17
daily_mean_contact_s,day_185,1050.86
daily_mean_contact_s,day_186,1050.39
daily_mean_contact_s,day_187,1050.39
daily_mean_contact_s,day_188,1050.08
daily_mean_contact_s,day_189,1050.48
daily_mean_contact_s,day_190,1050.47
daily_mean_contact_s,day_191,1050.31
daily_mean_contact_s,day_192,1050.39
daily_mean_contact_s,day_193,1049.3
daily_mean_contact_s,day_194,1049.53
daily_mean_contact_s,day_195,1051.9
daily_mean_contact_s,day_196,1049.77
daily_mean_contact_s,day_197,1049.77
daily_mean_contact_s,day_198,1049.69
daily_mean_contact_s,day_199,1049.61
daily_mean_contact_s,day_200,1049.53
daily_mean_contact_s,day_201,1049.84
daily_mean_contact_s,day_202,1049.22
daily_mean_contact_s,day_203,1051.67
daily_mean_contact_s,day_204,1050.7
daily_mean_contact_s,day_205,1050.31
daily_mean_contact_s,day_206,1048.67
daily_mean_contact_s,day_207,1050.23
daily_mean_contact_s,day_208,1050.08
daily_mean_contact_s,day_209,1048.67
daily_mean_contact_s,day_210,1051.67
daily_mean_contact_s,day_211,1050.31
daily_mean_contact_s,day_212,1049.45
daily_mean_contact_s,day_213,1049.45
daily_mean_contact_s,day_214,1050.23
daily_mean_contact_s,day_215,1049.53
daily_mean_contact_s,day_216,1049.53
daily_mean_contact_s,day_217,1052.14
daily_mean_contact_s,day_218,1049.84
daily_mean_contact_s,day_219,1049.38
daily_mean_contact_s,day_220,1050.47
daily_mean_contact_s,day_221,1049.38
daily_mean_contact_s,day_222,1048.98
daily_mean_contact_s,day_223,1050.31
daily_mean_contact_s,day_224,1050.08
daily_mean_contact_s,day_225,1050.48
daily_mean_contact_s,day_226,1050.16
daily_mean_contact_s,day_227,1050.31
daily_mean_contact_s,day_228,1050.55
daily_mean_contact_s,day_229,1050.78
daily_mean_contact_s,day_230,1050.86
daily_mean_contact_s,day_231,1051.09
daily_mean_contact_s,day_232,1049.21
daily_mean_contact_s,day_233,1050.39
daily_mean_contact_s,day_234,1051.17
daily_mean_contact_s,day_235,1051.02
daily_mean_contact_s,day_236,1050.94
daily_mean_contact_s,day_237,1050.47
daily_mean_contact_s,day_238,1050.78
daily_mean_contact_s,day_239,1048.57
daily_mean_contact_s,day_240,1050.7
daily_mean_contact_s,day_241,1050.7
daily_mean_contact_s,day_242,1051.8
daily_mean_contact_s,day_243,1051.41
daily_mean_contact_s,day_244,1051.02
daily_mean_contact_s,day_245,1050.94
daily_mean_contact_s,day_246,1048.81
daily_mean_contact_s,day_247,1051.33
daily_mean_contact_s,day_248,1050.78
daily_mean_contact_s,day_249,1050.94
daily_mean_contact_s,day_250,1051.41
daily_mean_contact_s,day_251,1050.94
daily_mean_contact_s,day_252,1050.62
daily_mean_contact_s,day_253,1051.09
daily_mean_contact_s,day_254,1049.05
daily_mean_contact_s,day_255,1051.25
daily_mean_contact_s,day_256,1050.62
daily_mean_contact_s,day_257,1050.78
